Altium Designer Pick and Place Locations
C:\Users\claud\OneDrive\Documents\UniFanor\2021.1\TCC\TLC-Board\out\Pick Place\Pick Place for STL.txt

========================================================================================================================
File Design Information:

Date:       09/05/21
Time:       10:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment           Layer    Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                      
U100       "MÓDULO ESP32"    TopLayer ESP32_MOD              945.669       658.661       360      ""                                                               
R302       2K2               TopLayer CR2012-0805            3130.000      380.000       360      "RES SMD 2.2K OHM 5% 1/8W 0805"                                  
R301       1K                TopLayer CR2012-0805            3150.000      -65.000       360      "RES SMD 1K OHM 1% 1/8W 0805"                                    
R300       220R              TopLayer CR2012-0805            3665.000      620.000       270      "RES SMD 220 OHM 5% 1/8W 0805"                                   
Q300       4N25              TopLayer 6-SMD                  3012.008      140.000       180      "OPTOISO 4.17KV TRANS W/BASE 6SMD"                               
PR300      LDR               TopLayer LDR_3x0.5              3485.000      635.000       90       "THROUGH HOLE PHOTORESISTORS ROHS"                               
R220       10K               TopLayer CR2012-0805            3090.000      690.000       270      "RES 0805 10K Ohm 0.1% 1/10W  SMD"                               
R219       33K               TopLayer CR2012-0805            2910.000      1085.000      360      "RES SMD 33K OHM 5% 1/8W 0805"                                   
Q200       4N25              TopLayer 6-SMD                  2850.000      792.008       270      "OPTOISO 4.17KV TRANS W/BASE 6SMD"                               
CON101     "TERM BLOCK 4POS" TopLayer MSTBA_4G               2320.000      275.000       360      "TERM BLOCK HDR 4POS R/A 5.08MM"                                 
CON100     "TERM BLOCK 2POS" TopLayer MSTBA_2G               155.000       2585.000      180      "TERM BLOCK HDR 2POS R/A 5.08MM"                                 
C200       "100nF 500V"      TopLayer CAPC3225-1210N         2150.000      930.000       270      "CAP CER 0.1UF 500V X7R 1210"                                    
T208       BTA12-600BRG      TopLayer TO255P460X1020X2005-3P 880.886       2197.894      360      "Thyristor TRIAC 600V 126A 3-Pin(3+Tab) TO-220AB Insulated Tube" 
T207       BTA12-600BRG      TopLayer TO255P460X1020X2005-3P 415.886       2197.894      360      "Thyristor TRIAC 600V 126A 3-Pin(3+Tab) TO-220AB Insulated Tube" 
T206       BTA12-600BRG      TopLayer TO255P460X1020X2005-3P 2100.000      1131.704      360      "Thyristor TRIAC 600V 126A 3-Pin(3+Tab) TO-220AB Insulated Tube" 
T205       BTA12-600BRG      TopLayer TO255P460X1020X2005-3P 3545.000      1385.000      360      "Thyristor TRIAC 600V 126A 3-Pin(3+Tab) TO-220AB Insulated Tube" 
T204       BTA12-600BRG      TopLayer TO255P460X1020X2005-3P 3209.124      2197.894      360      "Thyristor TRIAC 600V 126A 3-Pin(3+Tab) TO-220AB Insulated Tube" 
T203       BTA12-600BRG      TopLayer TO255P460X1020X2005-3P 2742.559      2197.894      360      "Thyristor TRIAC 600V 126A 3-Pin(3+Tab) TO-220AB Insulated Tube" 
T202       BTA12-600BRG      TopLayer TO255P460X1020X2005-3P 2277.559      2197.894      360      "Thyristor TRIAC 600V 126A 3-Pin(3+Tab) TO-220AB Insulated Tube" 
T201       BTA12-600BRG      TopLayer TO255P460X1020X2005-3P 1810.098      2197.894      360      "Thyristor TRIAC 600V 126A 3-Pin(3+Tab) TO-220AB Insulated Tube" 
